seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"211,18,89,336",seg_00312,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,230,205,99",seg_00313,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,59,86",seg_00315,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,67",seg_00317,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,70",seg_00321,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,89",seg_00322,1,proper_name,0.0,0.0,1.0,0.975609756097561
"211,98,343",seg_00324,1,proper_name,0.0,0.0,1.0,0.975609756097561
"212,402",seg_00325,1,proper_name,0.0,0.0,1.0,0.9512195121951219
"219,194,194",seg_00328,1,proper_name,0.0,0.0,1.0,1.0
"224,342",seg_00330,1,proper_name,0.0,0.0,1.0,0.975609756097561
"224,65,387",seg_00331,1,proper_name,0.0,0.0,1.0,0.975609756097561
"230,253",seg_00338,1,proper_name,0.0,0.0,1.0,1.0
"230,253,302,264",seg_00339,1,proper_name,0.0,0.0,1.0,1.0
"230,253,59,125,164",seg_00341,1,proper_name,0.0,0.0,1.0,1.0
"233,391",seg_00349,1,proper_name,0.0,0.0,1.0,1.0
234,seg_00351,1,proper_name,0.0,0.0,1.0,1.0
242,seg_00352,1,proper_name,0.0,0.0,1.0,1.0
"242,211,155",seg_00353,1,proper_name,0.0,0.0,1.0,0.975609756097561
245,seg_00355,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,205,99,384",seg_00357,1,proper_name,0.0,0.0,1.0,1.0
"245,245,25,326,87",seg_00360,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,245,25,98",seg_00362,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,245,75",seg_00365,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,245,75,336",seg_00366,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,245,75,86",seg_00367,1,proper_name,0.0,0.0,1.0,0.975609756097561
"245,25,98,345",seg_00368,1,proper_name,0.0,0.0,1.0,1.0
